Results
Func;                 bisect;                 brentq;                 brenth;                 ridder;                  modAB;
 f01;                      1;                      1;                      1;                      1;                      1;
 f02;      0.399422291710962;      0.399422291710968;      0.399422291710967;      0.399422291710973;      0.399422291710968;
 f03;      0.804133097503669;      0.804133097503664;      0.804133097503664;       0.80413309750367;      0.804133097503664;
 f04;     -0.999999999999996;                     -1;                     -1;                     -1;                     -1;
 f05;       2.09455148154233;       2.09455148154233;       2.09455148154233;       2.09455148154233;       2.09455148154233;
 f06;      0.138257155056827;      0.138257155056824;      0.138257155056824;      0.138257155056824;      0.138257155056824;
 f07;     0.0693140886870296;     0.0693140886870235;     0.0693140886870235;     0.0693140886870235;     0.0693140886870235;
 f08;     0.0346573590208479;     0.0346573590208539;     0.0346573590208539;     0.0346573590208538;     0.0346573590208539;
 f09;      0.109611796797786;      0.109611796797792;      0.109611796797792;      0.109611796797796;      0.109611796797792;
 f10;     0.0524786034368034;     0.0524786034368102;     0.0524786034368102;     0.0524786034368102;     0.0524786034368102;
 f11;     0.0256237476199814;     0.0256237476199884;     0.0256237476199883;     0.0256237476199882;     0.0256237476199882;
 f12;      0.345954815848238;      0.345954815848242;      0.345954815848242;      0.345954815848247;      0.345954815848242;
 f13;      0.245122333753308;      0.245122333753307;      0.245122333753307;      0.245122333753302;      0.245122333753307;
 f14;      0.164920957276443;      0.164920957276441;      0.164920957276441;      0.164920957276436;      0.164920957276442;
 f15;    0.00361710817890781;    0.00361710817890406;    0.00361710817890406;    0.00361710817889906;    0.00361710817890406;
 f16;   0.000151471334781661;   0.000151471334783892;   0.000151471334783892;   0.000151471334788891;   0.000151471334783891;
 f17;   7.66859512424389e-06;   7.66859512218534e-06;   7.66859512218534e-06;   7.66859512718534e-06;   7.66859512218534e-06;
 f18;      0.516153518757939;      0.516153518757934;      0.516153518757933;      0.516153518757939;      0.516153518757933;
 f19;       0.53952222690841;      0.539522226908413;      0.539522226908416;      0.539522226908411;      0.539522226908387;
 f20;      0.552704666678487;      0.552704666678488;      0.552704666678488;      0.552704666678492;      0.552704666678488;
 f21;      0.409992017989133;      0.409992017989137;      0.409992017989137;      0.409992017989137;      0.409992017989137;
 f22;      0.452509145577643;      0.452509145577641;      0.452509145577641;      0.452509145577641;      0.452509145577641;
 f23;      0.475626848596058;      0.475626848596062;      0.475626848596062;      0.475626848596068;      0.475626848596062;
 f24;                      3;       2.99999999994985;       2.99999999995591;                      3;       3.00000152587891;
 f25;                      4;       3.99999999999714;       4.00000000000212;                      4;            4.000390625;
 f26;       2.47457678736983;       2.47457678732526;       2.47457678733094;       2.47457678736983;       2.47457885742188;
 f27;          1.88916015625;       1.88901627626639;        1.8892233380005;       1.88905736094801;          1.88916015625;
 f28;       7.14299999999999;        7.1429999999767;       7.14299999997918;                  7.143;       7.14300537109375;
 f29;            3.000390625;       2.99980076364321;       2.99983620875946;          3.00054459411;            3.000390625;
 f30;       4.26716830454212;       4.26716830454212;       4.26716830454212;       4.26716830454212;       4.26716830454212;
 f31;      0.318309886183787;      0.318309886183791;      0.318309886183791;      0.318309886183791;      0.318309886183791;
 f32;       1.32581766366804;       1.32581766366803;       1.32581766366803;       1.32581766366803;       1.32581766366803;
 f33;      0.865474033101613;      0.865474033101614;      0.865474033101614;       0.86547403310162;      0.865474033101614;
 f34;      0.739085133215168;      0.739085133215161;      0.739085133215161;      0.739085133215156;      0.739085133215161;
 f35;      0.656666666666675;      0.656666666666667;      0.656666666666667;      0.656666666666672;      0.656666666666667;
 f36;       0.66666666666667;      0.666666666666665;      0.666666666666665;      0.666666666666665;      0.666666666666643;
 f37;       0.77777777777778;      0.777777777777778;      0.777777777777778;      0.777777777777778;      0.777777777777778;
 f38;      0.333333333333337;      0.333333333333337;      0.333333333333337;      0.333333333333332;      0.333333333333329;
 f39;      0.333333333333337;      0.333333333333329;      0.333333333333329;      0.333333333333336;      0.333333333333329;
 f40;       0.66666666666667;      0.666666666666663;      0.666666666666663;       0.66666666666667;      0.666666666666643;
 f41;      0.138257155056829;      0.138257155056824;      0.138257155056824;      0.138257155056824;      0.138257155056824;
 f42;       1.00000000000001;                      3;                      3;                      1;                      1;
 f43;   5.32907051820075e-15;  -1.56195193564074e-12;  -1.48266537758133e-12;  -2.12387949773817e-15;     3.814697265625e-06;
 f44;   5.32907051820075e-15;   -5.6265557596109e-12;   -9.0458794399378e-12;   4.20695920926564e-15;           0.0009765625;
 f45;   5.32907051820075e-15;   2.75614487660748e-11;   2.55193795022143e-11;  -4.80793902939332e-15;            -0.00390625;
 f46;      0.101624392293545;       0.10162439229355;       0.10162439229355;       0.10162439229355;       0.10162439229355;
 f47;    0.00773252320060808;     0.0077325232006128;    0.00773252320061493;    0.00773252320061169;     0.0077325232006128;
 f48;    0.00127630494573219;    0.00127630494573559;    0.00127630494573557;    0.00127630494574056;    0.00127630494573556;
 f49;     -0.682327803828024;     -0.682327803828019;     -0.682327803828019;     -0.682327803828023;     -0.682327803828019;
 f50;      -2.10380340273554;      -2.10380340273554;      -2.10380340273554;      -2.10380340273554;      -2.10380340273554;
 f51;       1.00000000000001;                      1;                      1;       1.00000000000001;                      1;
 f52;       1.00004083556472;       1.00004083556473;       1.00004083556473;       1.00004083556472;       1.00004083556473;
 f53;       1.69681238680976;       1.69681238680975;       1.69681238680975;       1.69681238680975;       1.69681238680975;
 f54;        0.5235987755983;      0.523598775598299;      0.523598775598299;      0.523598775598303;      0.523598775598299;
 f55;      0.999999999999996;                      1;                      1;                      1;                      1;
 f56;                      2;                      2;                      2;                      2;                      2;
 f57;                      3;                      3;                      3;       2.99999999999999;                      3;
 f58;        1.5574077246549;        1.5574077246549;        1.5574077246549;        1.5574077246549;       1.55740772465491;
 f59;       1.25643120862618;       1.25643120862617;       1.25643120862617;       1.25643120862617;       1.25643120862617;
 f60;      0.354463104375021;      0.354463104375025;      0.354463104375025;      0.354463104375025;      0.354463104375025;
 f61;       1.40449164821535;       1.40449164821534;       1.40449164821534;       1.40449164821534;       1.40449164821534;
 f62;       1.89549426703399;       1.89549426703398;       1.89549426703398;       1.89549426703398;       1.89549426703398;
 f63;      0.567143290409781;      0.567143290409784;      0.567143290409784;      0.567143290409784;      0.567143290409783;
 f64;      0.100000000000001;                    0.1;                    0.1;                    0.1;                    0.1;
 f65;     -0.523598775598295;     -0.523598775598299;     -0.523598775598299;     -0.523598775598294;     -0.523598775598299;
 f66;     -0.843914568649261;     -0.843914568649266;     -0.843914568649266;     -0.843914568649271;     -0.843914568649266;
 f67;      0.835079042723557;      0.835079042723559;      0.835079042723559;      0.835079042723559;      0.835079042723559;
 f68;      0.873568526830233;      0.873568526830232;      0.873568526830232;      0.873568526830232;      0.873568526830232;
 f69;      0.111111111111107;      0.111111111111111;      0.111111111111111;      0.111111111111111;      0.111111111111111;
 f70;     -0.037020127707855;    -0.0370201277078609;    -0.0370201277078609;    -0.0370201277078562;    -0.0370201277078609;
 f71;     -0.666666666666664;     -0.666666666666668;     -0.666666666666667;      -0.66666666666667;     -0.666666666666667;
 f72;   1.00000000458067e-06;   9.99889759964752e-07;   9.99889807433098e-07;   1.00000000110413e-06;   1.00000761449337e-06;
 f73;   1.00000000458067e-06;   1.00003412788822e-06;   1.00004180309012e-06;   1.00000000110413e-06;   1.00000761449337e-06;
 f74;      0.333333333333336;      0.333333333387534;        0.3333333333809;      0.333333333333336;      0.333343505859375;
 f75;      0.333333313465118;      0.333333349861514;      0.333333340244428;      0.333333353713477;      0.333333492279053;
 f76;     -0.999998999999995;     -0.999999000000004;     -0.999999000000004;              -0.999999;     -0.999998999999995;
 f77;     0.0476190476190439;      0.047619047619053;      0.047619047619053;     0.0476190476190442;     0.0476190476190439;
 f78;     7.105427357601e-15;  -9.83304752501076e-16;  -9.83304752501076e-16;    5.3097037701018e-15;     7.105427357601e-15;
 f79;     7.105427357601e-15;   2.68322869303061e-16;    2.0964981727155e-15;   5.00000000000001e-15;   2.91317086684748e-19;
 f80;      -0.03125853949917;    -0.0283620213217312;    -0.0283620213217312;    -0.0447295436126999;    -0.0414560401586836;
 f81;     -0.999999999999993;     -0.999999999999989;                     -1;     -0.999999999999995;                     -1;
 f82;       0.19851485148515;                   0.05;                   0.05;      0.049999999999995;                   0.05;
 f83;       0.19851485148515;      0.257920792080402;      0.257920792080266;   0.000495049504952557;      0.198514819145203;
 f84;       5.00207435582523;       3.01250244276146;       3.01250244276147;       5.00207435582523;       3.01250244276147;
 f85;      -2.20778314488693;      -2.20778314488693;      -2.20778314488693;      -2.20778314488693;      -2.20778314488693;
 f86;      0.302804157270693;      0.302804157270696;      0.302804157270697;      0.302804157270698;      0.302804157270683;
 f87;      0.987804878048773;       0.98780487804878;       0.98780487804878;      0.987804878048775;      0.987804878048781;
 f88;      0.168362173262537;      0.168362173262537;      0.168362173262537;      0.168362173262537;      0.168362173262537;
 f89;                    nan;                    nan;                    nan;                    nan;                    nan;
 f90;      0.026372695414425;       1.14759628853459;       1.14759628853459;     0.0263726954144254;       0.02637269541443;
 f91;      0.353913733550918;      0.353913733550918;      0.353913733550918;      0.120778011811921;      0.120778011811926;

Function evaluations
Func; bisect; brentq; brenth; ridder;  modAB;
 f01;      3;     10;      9;      4;      3;
 f02;     49;     13;     12;     16;     12;
 f03;     49;     12;     11;     14;     13;
 f04;     50;     10;     10;     12;     10;
 f05;     49;      8;      8;     14;      9;
 f06;     49;     10;     10;     12;     11;
 f07;     49;     12;     12;     12;     12;
 f08;     49;     12;     12;     12;     13;
 f09;     49;     10;     10;     16;     11;
 f10;     49;     10;      9;     16;      9;
 f11;     49;      9;      9;     16;      9;
 f12;     49;      9;     10;     14;     11;
 f13;     49;     10;     11;     16;     11;
 f14;     49;     13;     12;     16;     12;
 f15;     49;      8;      8;     12;      8; 
 f16;     49;      7;      7;     12;      8;
 f17;     49;      7;      7;     14;      7;
 f18;     49;      9;      9;     14;     10;
 f19;     49;      9;     12;     16;     11;
 f20;     49;     13;     14;     16;     12;
 f21;     49;     11;     10;     12;     11;
 f22;     49;     10;     10;     12;      9;
 f23;     49;     10;     10;     12;      9;
 f24;     50;    102;    102;     80;     20;
 f25;     50;    102;    102;     76;     12;
 f26;     50;    102;    102;     80;     18;
 f27;     14;     32;     33;     24;     14;
 f28;     48;    102;    102;     78;     16;
 f29;     12;     30;     32;     18;     12; 
 f30;     49;     14;     13;     16;     14;
 f31;     51;     12;      7;     16;     13;
 f32;     49;     13;     10;     16;     12;
 f33;     51;     15;     14;     18;     12;
 f34;     53;     10;      9;     16;     10;
 f35;     53;     11;     15;     24;     18;
 f36;     53;     45;     45;     54;     50;
 f37;     53;     31;     32;     24;     17;
 f38;     53;     53;     53;     56;     50;
 f39;     53;     83;     83;     94;     50;
 f40;     53;     56;     56;     70;     50;
 f41;     52;     13;     13;     14;     14;
 f42;     51;     10;     10;     18;     13;
 f43;     50;    102;    102;     82;     19;
 f44;     50;    102;    102;     74;     11;
 f45;     50;    102;    102;     82;      9;
 f46;     48;     15;     15;     14;     14;
 f47;     48;     16;     14;     18;     15;
 f48;     48;     16;     14;     18;     19; 
 f49;     50;     11;     10;     12;     11;
 f50;     51;     12;     11;     14;     12;
 f51;     51;     10;      9;     14;     11;
 f52;     52;     17;     16;     18;     15;
 f53;     50;     14;     13;     18;     12;
 f54;     49;      8;      8;     12;      9;
 f55;     49;     11;     10;      4;     10;
 f56;     49;     11;     10;     14;     10;
 f57;     49;     12;     12;     14;     12;
 f58;     52;     10;      9;     12;     11;
 f59;     50;     13;     13;     12;     11;
 f60;     50;      8;      8;     14;      8;
 f61;     50;     11;     11;     18;     11;
 f62;     49;      9;      9;     14;      9;
 f63;     50;     10;     10;     10;     10;
 f64;     50;      9;      9;     12;      9;
 f65;     50;      8;      8;     16;      9;
 f66;     50;     11;     12;     16;     12;
 f67;     50;     12;     10;     12;     13;
 f68;     50;      8;      8;     10;      9;
 f69;     50;     10;      9;     12;     10;
 f70;     50;     11;     11;     16;     11;
 f71;     50;     13;      6;     16;     10;
 f72;     50;    102;    102;     86;     35; 
 f73;     50;    102;    102;     86;     35;
 f74;     50;    102;    102;     82;     18;
 f75;     27;     66;     66;     38;     24;
 f76;     50;     50;     50;     52;     50;
 f77;     50;     53;     53;     72;     50;
 f78;     50;     51;     51;     38;     50;
 f79;     50;     47;     47;     36;     15;
 f80;     50;     22;     22;     28;     25;
 f81;     50;     52;     45;     38;     20;
 f82;     50;      4;      4;      6;      4;
 f83;     50;    102;    102;     68;     26;
 f84;     51;      8;      9;     20;      8;
 f85;     53;     13;     12;     20;     11;
 f86;     51;     16;     16;     20;     13;
 f87;     49;     12;      6;     16;      7;
 f88;     51;     13;     12;     14;     13;
 f89;      2;      2;      2;      2;      3;
 f90;     51;     15;     14;     18;     13; 
 f91;     49;     13;     13;     14;     12;
 SUM;   4359;   2515;   2476;   2454;   1410;
