Results
Func;                 bisect;                 brentq;                 brenth;                 ridder;                 chandr;                  modAB
 f31;      0.318309886183787;      0.318309886183791;      0.318309886183791;      0.318309886183791;      0.318309886183791;      0.318309886183791;
 f32;       1.32581766366804;       1.32581766366803;       1.32581766366803;       1.32581766366803;       1.32581766366803;       1.32581766366803;
 f33;      0.865474033101613;      0.865474033101614;      0.865474033101614;       0.86547403310162;      0.865474033101614;      0.865474033101614;
 f34;      0.739085133215168;      0.739085133215161;      0.739085133215161;      0.739085133215156;      0.739085133215161;      0.739085133215161;
 f35;      0.656666666666675;      0.656666666666667;      0.656666666666667;      0.656666666666672;      0.656666666666667;      0.656666666666667; 
 f36;       0.66666666666667;      0.666666666666665;      0.666666666666665;      0.666666666666665;       0.66666666666667;      0.666666666666643; 
 f37;       0.77777777777778;      0.777777777777778;      0.777777777777778;      0.777777777777778;      0.777777777777779;      0.777777777777778;
 f38;      0.333333333333337;      0.333333333333337;      0.333333333333337;      0.333333333333332;      0.333333333333329;      0.333333333333329;
 f39;      0.333333333333337;      0.333333333333329;      0.333333333333329;      0.333333333333336;      0.333333333333329;      0.333333333333329; 
 f40;       0.66666666666667;      0.666666666666663;      0.666666666666663;       0.66666666666667;      0.666666666666661;      0.666666666666643; 
 f41;      0.138257155056829;      0.138257155056824;      0.138257155056824;      0.138257155056824;      0.138257155056824;      0.138257155056824;
 f42;       1.00000000000001;                      3;                      3;                      1;                      1;                      1; 
 f43;   5.32907051820075e-15;  -1.56195193564074e-12;  -1.48266537758133e-12;  -2.12387949773817e-15;   -3.5527136788005e-15;   5.32907051820075e-15; 
 f44;   5.32907051820075e-15;   -5.6265557596109e-12;   -9.0458794399378e-12;   4.20695920926564e-15;   -3.5527136788005e-15;   5.32907051820075e-15;
 f45;   5.32907051820075e-15;   2.75614487660748e-11;   2.55193795022143e-11;  -4.80793902939332e-15;   -3.5527136788005e-15;   5.32907051820075e-15; 
 f46;      0.101624392293545;       0.10162439229355;       0.10162439229355;       0.10162439229355;       0.10162439229355;       0.10162439229355;
 f47;    0.00773252320060808;     0.0077325232006128;    0.00773252320061493;    0.00773252320061169;     0.0077325232006128;     0.0077325232006128;
 f48;    0.00127630494573219;    0.00127630494573559;    0.00127630494573557;    0.00127630494574056;    0.00127630494573523;    0.00127630494573556; 
 f49;     -0.682327803828024;     -0.682327803828019;     -0.682327803828019;     -0.682327803828023;     -0.682327803828019;     -0.682327803828019;
 f50;      -2.10380340273554;      -2.10380340273554;      -2.10380340273554;      -2.10380340273554;      -2.10380340273554;      -2.10380340273554;
 f51;       1.00000000000001;                      1;                      1;       1.00000000000001;                      1;                      1;
 f52;       1.00004083556472;       1.00004083556473;       1.00004083556473;       1.00004083556472;       1.00004083556473;       1.00004083556473;
 f53;       1.69681238680976;       1.69681238680975;       1.69681238680975;       1.69681238680975;       1.69681238680975;       1.69681238680975; 
 f54;        0.5235987755983;      0.523598775598299;      0.523598775598299;      0.523598775598303;      0.523598775598299;      0.523598775598299;
 f55;      0.999999999999996;                      1;                      1;                      1;                      1;                      1;
 f56;                      2;                      2;                      2;                      2;                      2;                      2;
 f57;                      3;                      3;                      3;       2.99999999999999;                      3;                      3;
 f58;        1.5574077246549;        1.5574077246549;        1.5574077246549;        1.5574077246549;        1.5574077246549;        1.5574077246549; 
 f59;       1.25643120862618;       1.25643120862617;       1.25643120862617;       1.25643120862617;       1.25643120862617;       1.25643120862617;
 f60;      0.354463104375021;      0.354463104375025;      0.354463104375025;      0.354463104375025;      0.354463104375025;      0.354463104375025;
 f61;       1.40449164821535;       1.40449164821534;       1.40449164821534;       1.40449164821534;       1.40449164821534;       1.40449164821534;
 f62;       1.89549426703399;       1.89549426703398;       1.89549426703398;       1.89549426703398;       1.89549426703398;       1.89549426703398;
 f63;      0.567143290409781;      0.567143290409784;      0.567143290409784;      0.567143290409784;      0.567143290409784;      0.567143290409784;
 f64;      0.100000000000001;                    0.1;                    0.1;                    0.1;     0.0999999999999981;                    0.1; 
 f65;     -0.523598775598295;     -0.523598775598299;     -0.523598775598299;     -0.523598775598294;       -0.5235987755983;     -0.523598775598299;
 f66;     -0.843914568649261;     -0.843914568649266;     -0.843914568649266;     -0.843914568649271;     -0.843914568649266;     -0.843914568649266;
 f67;      0.835079042723557;      0.835079042723559;      0.835079042723559;      0.835079042723559;      0.835079042723558;      0.835079042723559;
 f68;      0.873568526830233;      0.873568526830232;      0.873568526830232;      0.873568526830232;      0.873568526830232;      0.873568526830232;
 f69;      0.111111111111107;      0.111111111111111;      0.111111111111111;      0.111111111111111;      0.111111111111111;      0.111111111111111; 
 f70;     -0.037020127707855;    -0.0370201277078609;    -0.0370201277078609;    -0.0370201277078562;    -0.0370201277078609;    -0.0370201277078609;
 f71;     -0.666666666666664;     -0.666666666666668;     -0.666666666666667;      -0.66666666666667;     -0.666666666666667;     -0.666666666666667;
 f72;   1.00000000458067e-06;   9.99889759964752e-07;   9.99889807433098e-07;   1.00000000110413e-06;   9.99999999954212e-07;   1.00000000458067e-06; 
 f73;   1.00000000458067e-06;   1.00003412788822e-06;   1.00004180309012e-06;   1.00000000110413e-06;    1.0000000021912e-06;   1.00000000458067e-06; 
 f74;      0.333333333333336;      0.333333333387534;        0.3333333333809;      0.333333333333336;      0.333333333333336;      0.333333333333336;
 f75;      0.333333313465118;      0.333333349861514;      0.333333340244428;      0.333333353713477;      0.333333313465118;      0.333333333333336;
 f76;     -0.999998999999995;     -0.999999000000004;     -0.999999000000004;              -0.999999;     -0.999999000000003;     -0.999998999999995; 
 f77;     0.0476190476190439;      0.047619047619053;      0.047619047619053;     0.0476190476190442;     0.0476190476190439;     0.0476190476190439;
 f78;     7.105427357601e-15;  -9.83304752501076e-16;  -9.83304752501076e-16;    5.3097037701018e-15;                      0;     7.105427357601e-15; 
 f79;     7.105427357601e-15;   2.68322869303061e-16;    2.0964981727155e-15;   5.00000000000001e-15;                      0;   2.91317086684748e-19; 
 f80;      -0.03125853949917;    -0.0283620213217312;    -0.0283620213217312;    -0.0447295436126999;    -0.0825035534780539;    -0.0414560401586836;
 f81;     -0.999999999999993;     -0.999999999999989;                     -1;     -0.999999999999995;     -0.999999999999995;                     -1;
 f82;       0.19851485148515;                   0.05;                   0.05;      0.049999999999995;                   0.05;     0.0499999999999993; 
 f83;       0.19851485148515;      0.257920792080402;      0.257920792080266;   0.000495049504952557;       0.19851485148515;       0.19851485148515;
 f84;       5.00207435582523;       3.01250244276146;       3.01250244276147;       5.00207435582523;       5.00207435582523;       3.01250244276147; 
 f85;      -2.20778314488693;      -2.20778314488693;      -2.20778314488693;      -2.20778314488693;      -2.20778314488693;      -2.20778314488693;
 f86;      0.302804157270693;      0.302804157270696;      0.302804157270697;      0.302804157270698;      0.302804157270695;      0.302804157270697;
 f87;      0.987804878048773;       0.98780487804878;       0.98780487804878;      0.987804878048775;       0.98780487804878;      0.987804878048781;
 f88;      0.168362173262537;      0.168362173262537;      0.168362173262537;      0.168362173262537;      0.168362173262537;      0.168362173262537; 
 f89;                    nan;                    nan;                    nan;                    nan;                    nan;                    nan;
 f90;      0.026372695414425;       1.14759628853459;       1.14759628853459;     0.0263726954144254;       0.02637269541443;       0.02637269541443;
 f91;      0.353913733550918;      0.353913733550918;      0.353913733550918;      0.120778011811921;      0.120778011811926;      0.120778011811926; 

Function values
Func;                 bisect;                 brentq;                 brenth;                 ridder;                 chandr;                  modAB
 f01;                      0;                      0;                      0;                      0;                      0;                      0;
 f02;  -4.67681449123347e-15;  -9.71445146547012e-17;  -1.11022302462516e-15;   3.81639164714898e-15;  -1.38777878078145e-17;  -1.38777878078145e-17;
 f03;   6.57252030578093e-14;   4.44089209850063e-16;   4.44089209850063e-16;   7.17204073907851e-14;   4.44089209850063e-16;   4.44089209850063e-16;
 f04;   1.06581410364015e-14;                      0;                      0;                      0;                      0;                      0; 
 f05;    6.3948846218409e-14;    3.5527136788005e-15;  -8.88178419700125e-16;   5.77315972805081e-14;  -8.88178419700125e-16;  -8.88178419700125e-16;
 f06;   1.57651669496772e-14;                      0;                      0;                      0;  -5.32907051820075e-15;                      0;
 f07;   6.12843109593086e-14;   2.22044604925031e-16;   2.22044604925031e-16;                      0;  -6.43929354282591e-15;                      0;
 f08;  -1.19459997449667e-13;                      0;                      0;                      0;  -6.66133814775094e-15;                      0; 
 f09;  -5.22359933086136e-14;   8.32667268468867e-17;   8.32667268468867e-17;   3.03090885722668e-14;   8.32667268468867e-17;  -2.77555756156289e-17;
 f10;   -1.2223555501123e-13;   5.55111512312578e-17;                      0;                      0;  -3.60822483003176e-16;                      0;
 f11;  -2.57960319771655e-13;    8.3544282603043e-15;    2.1094237467878e-15;                      0;   7.93809462606987e-15;                      0;
 f12;  -6.88338275267597e-15;   2.08166817117217e-16;  -6.93889390390723e-17;   8.13238365537927e-15;  -6.93889390390723e-17;  -6.93889390390723e-17;
 f13;    9.0205620750794e-16;   3.46944695195361e-17;   3.46944695195361e-17;  -6.53643805748061e-15;   2.08166817117217e-17;  -8.32667268468867e-17; 
 f14;   2.40432673770385e-15;   6.93889390390723e-18;                      0;   -4.9960036108132e-15;   6.93889390390723e-18;   1.73472347597681e-17;
 f15;   1.03461683664818e-12;  -1.11022302462516e-16;  -3.33066907387547e-16;  -1.37989619730661e-12;   1.80744308408975e-13;                      0;
 f16;  -1.47248879756035e-11;   1.66533453693773e-15;   1.66533453693773e-15;   3.30065974551985e-11;  -5.61661828157867e-13;   1.11022302462516e-16; 
 f17;   2.68439825923394e-10;  -2.22044604925031e-16;  -2.22044604925031e-16;   6.52010112567325e-10;  -2.22044604925031e-16;   2.22044604925031e-16;
 f18;   3.28209681654812e-15;   6.93889390390723e-18;  -5.55111512312578e-17;   3.21964677141295e-15;  -5.55111512312578e-17;   6.93889390390723e-18;
 f19;  -3.67761376907083e-16;  -1.52655665885959e-16;   3.46944695195361e-18;  -3.32199545649559e-16;   3.46944695195361e-18;  -3.46944695195361e-18;
 f20;  -3.47283508374263e-19;   1.94817577868489e-20;  -2.45639554703747e-20;   1.67204303787999e-18;   1.94817577868489e-20;   1.94817577868489e-20;
 f21;  -4.44089209850063e-15;  -2.77555756156289e-17;  -6.10622663543836e-16;                      0;                      0;  -2.77555756156289e-17; 
 f22;    2.1094237467878e-15;                      0;                      0;                      0;  -4.71844785465692e-16;                      0;
 f23;  -4.88498130835069e-15;                      0;                      0;   5.10702591327572e-15;  -1.66533453693773e-16;                      0;
